ARCTIC OCEAN
POLYGON
-180
71,20842
359,9999
18,79158
2
757
-81,18884, 82,59449
-81,5799, 82,64317
-81,78521, 82,64901
-82,117, 82,62891
-82,12229, 82,60191
-81,95879, 82,56328
-81,68098, 82,51884
-81,718, 82,50613
-82,02333, 82,4945
-82,26888, 82,46484
-82,45145, 82,42729
-82,44772, 82,395
-82,25352, 82,33627
-81,99742, 82,27805
-81,46825, 82,19234
-80,12999, 82,02827
-79,62939, 81,93252
-79,42461, 81,85418
-79,46587, 81,85103
-79,68549, 81,88596
-79,90878, 81,93621
-80,15327, 81,9775
-80,55014, 82,00448
-81,58466, 82,12036
-82,27681, 82,21826
-82,53664, 82,24736
-82,63823, 82,24578
-82,70862, 82,22886
-82,74725, 82,19656
-82,65727, 82,15845
-82,32761, 82,0923
-82,35618, 82,06584
-82,63348, 82,0775
-82,77422, 82,09496
-83,01022, 82,14153
-83,17587, 82,18703
-83,59073, 82,32622
-83,82356, 82,35056
-84,36807, 82,37383
-84,55328, 82,39818
-84,74485, 82,43735
-84,89672, 82,44949
-85,27613, 82,40504
-85,48093, 82,36642
-85,79471, 82,29182
-85,92013, 82,28284
-86,18734, 82,2479
-86,61546, 82,2188
-86,58052, 82,18703
-85,31052, 82,04417
-85,16924, 82,02352
-85,0523, 81,99443
-85,04488, 81,98277
-85,40313, 81,98225
-85,53806, 81,95474
-85,64549, 81,95316
-85,87463, 81,9759
-86,15825, 82,02564
-86,37733, 82,04523
-86,62656, 82,05104
-86,834, 82,0336
-86,9991, 81,99231
-87,01814, 81,95898
-87,21816, 82,00024
-87,40443, 82,05421
-87,63885, 82,08492
-88,06325, 82,09657
-88,56702, 82,06109
-88,87498, 82,01825
-89,15652, 81,95525
-89,38087, 81,91663
-89,63329, 81,89441
-90,16299, 81,89387
-90,49, 81,87748
-90,94191, 81,8272
-91,21973, 81,78751
-91,42397, 81,74413
-91,64781, 81,6838
-91,68381, 81,63567
-91,40282, 81,57796
-91,29223, 81,57109
-91,10278, 81,59171
-90,83396, 81,64039
-90,62653, 81,65574
-90,48049, 81,6383
-90,33073, 81,6314
-89,82167, 81,63512
-89,84495, 81,61184
-90,55351, 81,4642
-90,60906, 81,42981
-90,41647, 81,40547
-90,30373, 81,40123
-88,97818, 81,54146
-88,47916, 81,56474
-88,10136, 81,55838
-87,59705, 81,52557
-87,61664, 81,50919
-88,12676, 81,51869
-88,62206, 81,50125
-88,89245, 81,47425
-89,42691, 81,38746
-89,67352, 81,32873
-89,63595, 81,30228
-89,20889, 81,2499
-89,26235, 81,2393
-89,56345, 81,22662
-89,94709, 81,17265
-89,98093, 81,12445
-89,79203, 81,06469
-89,62323, 81,03239
-89,39834, 81,02552
-88,88663, 81,05831
-87,27531, 81,08056
-86,62285, 81,12288
-85,87514, 81,24142
-85,40261, 81,28532
-85,20627, 81,29486
-84,94117, 81,28641
-85,08351, 81,24672
-85,80954, 81,12342
-85,97834, 81,1012
-86,47681, 81,03557
-86,92872, 81,00066
-87,38857, 80,98849
-88,41302, 80,9996
-89,16708, 80,94137
-89,26341, 80,91439
-89,21156, 80,88212
-89,14435, 80,85354
-89,06179, 80,82974
-88,92157, 80,80538
-88,62523, 80,76993
-88,23205, 80,70378
-88,00346, 80,6752
-87,71188, 80,65617
-87,32983, 80,66994
-87,08006, 80,72655
-86,23339, 80,94984
-85,96668, 81,01177
